UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 18:09 ?        00:00:00 init [3]
root         2     0  0 18:09 ?        00:00:00 [kthreadd]
root         3     2  0 18:09 ?        00:00:00 [pool_workqueue_release]
root         4     2  0 18:09 ?        00:00:00 [kworker/R-rcu_gp]
root         5     2  0 18:09 ?        00:00:00 [kworker/R-sync_wq]
root         6     2  0 18:09 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root         7     2  0 18:09 ?        00:00:00 [kworker/R-slub_flushwq]
root         8     2  0 18:09 ?        00:00:00 [kworker/R-netns]
root         9     2  0 18:09 ?        00:00:00 [kworker/0:0-events]
root        10     2  0 18:09 ?        00:00:00 [kworker/0:1-events]
root        11     2  0 18:09 ?        00:00:00 [kworker/0:0H-events_highpri]
root        12     2  0 18:09 ?        00:00:00 [kworker/u16:0-loop0]
root        13     2  0 18:09 ?        00:00:00 [kworker/R-mm_percpu_wq]
root        14     2  0 18:09 ?        00:00:00 [ksoftirqd/0]
root        15     2  0 18:09 ?        00:00:00 [rcu_preempt]
root        16     2  0 18:09 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root        17     2  0 18:09 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root        18     2  0 18:09 ?        00:00:00 [migration/0]
root        19     2  0 18:09 ?        00:00:00 [idle_inject/0]
root        20     2  0 18:09 ?        00:00:00 [cpuhp/0]
root        21     2  0 18:09 ?        00:00:00 [cpuhp/1]
root        22     2  0 18:09 ?        00:00:00 [idle_inject/1]
root        23     2  0 18:09 ?        00:00:00 [migration/1]
root        24     2  0 18:09 ?        00:00:00 [ksoftirqd/1]
root        25     2  0 18:09 ?        00:00:00 [kworker/1:0-events]
root        26     2  0 18:09 ?        00:00:00 [kworker/1:0H-events_highpri]
root        27     2  0 18:09 ?        00:00:00 [cpuhp/2]
root        28     2  0 18:09 ?        00:00:00 [idle_inject/2]
root        29     2  0 18:09 ?        00:00:00 [migration/2]
root        30     2  0 18:09 ?        00:00:00 [ksoftirqd/2]
root        31     2  0 18:09 ?        00:00:00 [kworker/2:0-slub_flushwq]
root        32     2  0 18:09 ?        00:00:00 [kworker/2:0H-kblockd]
root        33     2  0 18:09 ?        00:00:00 [cpuhp/3]
root        34     2  0 18:09 ?        00:00:00 [idle_inject/3]
root        35     2  0 18:09 ?        00:00:00 [migration/3]
root        36     2  0 18:09 ?        00:00:00 [ksoftirqd/3]
root        37     2  0 18:09 ?        00:00:00 [kworker/3:0-events]
root        38     2  0 18:09 ?        00:00:00 [kworker/3:0H-kblockd]
root        39     2  0 18:09 ?        00:00:00 [kdevtmpfs]
root        40     2  0 18:09 ?        00:00:00 [kworker/R-inet_frag_wq]
root        41     2  0 18:09 ?        00:00:00 [rcu_tasks_kthread]
root        42     2  0 18:09 ?        00:00:00 [rcu_tasks_rude_kthread]
root        43     2  0 18:09 ?        00:00:00 [rcu_tasks_trace_kthread]
root        44     2  0 18:09 ?        00:00:00 [kauditd]
root        45     2  0 18:09 ?        00:00:00 [oom_reaper]
root        46     2  0 18:09 ?        00:00:00 [kworker/u16:1-gfx]
root        47     2  0 18:09 ?        00:00:00 [kworker/R-writeback]
root        48     2  0 18:09 ?        00:00:00 [kworker/u16:2-sdma0]
root        49     2  0 18:09 ?        00:00:00 [kcompactd0]
root        50     2  0 18:09 ?        00:00:00 [ksmd]
root        51     2  0 18:09 ?        00:00:00 [khugepaged]
root        52     2  0 18:09 ?        00:00:00 [kworker/R-kblockd]
root        53     2  0 18:09 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root        54     2  0 18:09 ?        00:00:00 [kworker/R-kintegrityd]
root        55     2  0 18:09 ?        00:00:00 [irq/9-acpi]
root        56     2  0 18:09 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root        57     2  0 18:09 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
root        58     2  0 18:09 ?        00:00:00 [kworker/R-tpm_dev_wq]
root        59     2  0 18:09 ?        00:00:00 [kworker/R-tifm]
root        60     2  0 18:09 ?        00:00:00 [kworker/R-ata_sff]
root        61     2  0 18:09 ?        00:00:00 [kworker/R-md]
root        62     2  0 18:09 ?        00:00:00 [kworker/R-md_bitmap]
root        63     2  0 18:09 ?        00:00:00 [kworker/R-edac-poller]
root        64     2  0 18:09 ?        00:00:00 [kworker/R-devfreq_wq]
root        65     2  0 18:09 ?        00:00:00 [watchdogd]
